max_i,duration,latency,bandwidth
10,0.107255,0.000054,223765111.673802
10,0.107705,0.000054,222830973.746751
20,0.121370,0.000061,790972727.136779
20,0.120962,0.000060,793639337.844875
40,0.146921,0.000073,2613649921.481260
40,0.146719,0.000073,2617241050.886077
80,0.247884,0.000124,6196453174.407865
80,0.247179,0.000124,6214123299.226616
160,0.811980,0.000406,7566685638.349253
160,0.810192,0.000405,7583387398.088265
320,2.804030,0.001402,8764527918.730190
320,2.821207,0.001411,8711163685.164263
640,11.735221,0.005868,8376834419.358094
640,11.686013,0.005843,8412107765.635470
