dim,duration,latency,bandwidth,mode
0,12000,0.11460899999999999,5.6999999999999996e-05,209408420.16598898,0
1,27000,0.11901300000000001,5.9999999999999995e-05,453733729.48657197,0
2,48000,0.127571,6.4e-05,752520249.104897,0
3,75000,0.133741,6.7e-05,1121568566.578396,0
4,108000,0.138559,6.9e-05,1558901738.136466,0
5,147000,0.144775,7.2e-05,2030731207.3198488,0
6,192000,0.155917,7.8e-05,2462849581.615731,0
7,243000,0.162158,8.1e-05,2997070474.613675,0
8,300000,0.175965,8.8e-05,3409766159.0324264,0
9,363000,0.190251,9.499999999999999e-05,3816021127.3852034,0
10,432000,0.198193,9.9e-05,4359385148.4840145,0
11,507000,0.218254,0.000109,4645972348.153093,0
12,588000,0.23149299999999998,0.00011599999999999999,5080067391.413733,0
13,675000,0.249594,0.000125,5408785425.260826,0
14,768000,0.260918,0.00013000000000000002,5886906794.540195,0
15,867000,0.276888,0.000138,6262455184.5759535,0
16,972000,0.29896300000000003,0.000149,6502486878.448092,0
17,1083000,0.31645300000000004,0.00015800000000000002,6844627832.999678,0
18,1200000,0.337296,0.000169,7115417045.266149,0
