,dim,duration,latency,bandwidth,mode
0,12000,0.11558099999999999,5.7999999999999994e-05,207647361.622241,2
1,27000,0.124091,6.2e-05,435163383.66382,2
2,48000,0.128138,6.4e-05,749191821.029187,2
3,75000,0.13410899999999998,6.7e-05,1118490588.897151,2
4,108000,0.138179,6.9e-05,1563184899.7843971,2
5,147000,0.146204,7.3e-05,2010888344.809076,2
6,192000,0.154905,7.7e-05,2478938176.269586,2
7,243000,0.162944,8.1e-05,2982611924.813877,2
8,300000,0.175996,8.8e-05,3409160603.1809673,2
9,363000,0.185364,9.300000000000001e-05,3916626903.372779,2
10,432000,0.199216,0.0001,4337007879.99194,2
11,507000,0.21596700000000002,0.00010800000000000001,4695169087.277143,2
12,588000,0.228144,0.00011399999999999999,5154636351.034679,2
13,675000,0.245702,0.000123,5494471816.546375,2
14,768000,0.259707,0.00013000000000000002,5914357766.147225,2
15,867000,0.271778,0.000136,6380200872.345657,2
16,972000,0.293403,0.000147,6625701630.361247,2
17,1083000,0.31311700000000003,0.000157,6917536437.755911,2
18,1200000,0.338405,0.000169,7092100059.2128315,2
